s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,m,m,m,m,deg,deg
Time,R1-1,R2-1,R3-1,R4-1,R5-1,R6-1,R7-1,R8-1,R9-1,R10-1,R11-1,R12-1,R13-1,R14-1,R15-1,R16-1,R17-1,R18-1,R19-1,R20-1,R21-1,R22-1,R23-1,R24-1,R25-1,R26-1,R27-1,R28-1,R29-1,R30-1,R31-1,R32-1,R33-1,R34-1,R35-1,R36-1,R37-1,R38-1,R39-1,R40-1,R1-2,R2-2,R3-2,R4-2,R5-2,R6-2,R7-2,R8-2,R9-2,R10-2,R11-2,R12-2,R13-2,R14-2,R15-2,R16-2,R17-2,R18-2,R19-2,R20-2,R21-2,R22-2,R23-2,R24-2,R25-2,R26-2,R27-2,R28-2,R29-2,R30-2,R31-2,R32-2,R33-2,R34-2,R35-2,R36-2,R37-2,R38-2,R39-2,R40-2,x_max_1,y_max_1,L_F_s_1,L_F_w_1,tilt_s_1,tilt_w_1
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0054144E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0002601E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.9921210E-002, 1.7357048E-003, 0.0000000E+000, 0.0000000E+000,-9.0000346E+001, 9.0000346E+001
 1.5002051E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.8520923E+000, 1.5759655E+000, 9.3611218E+000, 8.9851873E+000,-1.9049057E+001,-6.2377429E+000
 2.0004825E+001, 8.5840384E-001, 1.4364271E+000, 2.6357926E+000, 3.8473998E+000, 5.5833669E+000, 1.3690756E+000, 1.5081921E+000, 2.4783196E+000, 3.3347767E+000, 3.7807834E+000, 6.9037954E-001, 1.2471471E+000, 2.3773542E+000, 3.3765361E+000, 4.6516426E+000, 9.9955000E-001, 1.6134477E+000, 2.5277259E+000, 3.3217169E+000, 3.8124049E+000, 1.4124581E+000, 1.8196057E+000, 3.4082256E+000, 4.7032890E+000, 2.4968823E+000, 1.4043641E+000, 2.0743761E+000, 3.2980501E+000, 4.1302348E+000, 5.2008992E+000, 1.2047554E+000, 2.0042975E+000, 3.3557993E+000, 4.5920927E+000, 6.5105982E+000, 1.1261405E+000, 1.9117840E+000, 3.0937194E+000, 4.2464285E+000, 5.0398248E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5689558E+000,-8.1213470E-001, 9.5856438E+000, 9.0652007E+000,-2.0276026E+001,-1.4849357E+000
 2.5002184E+001, 9.8442066E-001, 1.3970741E+000, 2.5465029E+000, 3.7276069E+000, 5.3160983E+000, 1.2101136E+000, 1.2544855E+000, 2.0132089E+000, 2.7354964E+000, 3.9535313E+000, 6.9533039E-001, 1.1885762E+000, 2.1910754E+000, 3.1330887E+000, 4.3728125E+000, 8.4585656E-001, 1.3205224E+000, 2.0915468E+000, 2.8024653E+000, 3.9275196E+000, 1.3148826E+000, 1.8240174E+000, 3.4260195E+000, 4.6744567E+000, 2.5235974E+000, 1.1579785E+000, 1.7885682E+000, 3.0080517E+000, 3.7177862E+000, 5.6180292E+000, 1.1969466E+000, 2.1053332E+000, 3.5863266E+000, 4.8537959E+000, 6.7428178E+000, 9.7772211E-001, 1.5911842E+000, 2.7541650E+000, 3.9162764E+000, 5.5180178E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.7474206E+000, 2.1256566E-001, 9.2922246E+000, 8.7966656E+000,-1.9722876E+001,-1.2750106E+000
 3.0004708E+001, 9.8152460E-001, 1.3779170E+000, 2.5203652E+000, 3.7010753E+000, 5.2869151E+000, 1.2217461E+000, 1.2457868E+000, 2.0088757E+000, 2.7300324E+000, 3.9203753E+000, 7.0925318E-001, 1.2033226E+000, 2.2020319E+000, 3.1323572E+000, 4.3540292E+000, 8.3759327E-001, 1.3157532E+000, 2.0889810E+000, 2.7969358E+000, 3.9038124E+000, 1.3221816E+000, 1.8346961E+000, 3.4071720E+000, 4.6402180E+000, 2.5203963E+000, 1.1472124E+000, 1.7765810E+000, 2.9872445E+000, 3.6901376E+000, 5.5600332E+000, 1.2033504E+000, 2.0938592E+000, 3.5387129E+000, 4.7718380E+000, 6.6251582E+000, 9.6755709E-001, 1.5807943E+000, 2.7297958E+000, 3.8752233E+000, 5.4492239E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.0454349E+000,-1.3757024E-001, 9.0681930E+000, 8.6156093E+000,-1.8777578E+001,-8.1698503E-001
 3.5002812E+001, 9.6762197E-001, 1.3605139E+000, 2.5026910E+000, 3.6833722E+000, 5.2673531E+000, 1.2236158E+000, 1.2365781E+000, 1.9943739E+000, 2.7111827E+000, 3.8999003E+000, 7.2116246E-001, 1.2105833E+000, 2.1943088E+000, 3.1129608E+000, 4.3239308E+000, 8.3908014E-001, 1.3193852E+000, 2.0953156E+000, 2.8071270E+000, 3.9274398E+000, 1.3241751E+000, 1.8402625E+000, 3.4268522E+000, 4.6714126E+000, 2.5295086E+000, 1.1514816E+000, 1.7854483E+000, 3.0067013E+000, 3.7092956E+000, 5.6159116E+000, 1.2188126E+000, 2.1024368E+000, 3.5342052E+000, 4.7500277E+000, 6.5933089E+000, 9.6458076E-001, 1.5746310E+000, 2.7239687E+000, 3.8653525E+000, 5.4381248E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1532073E+000,-2.8443808E-001, 8.9840522E+000, 8.5255743E+000,-1.9028485E+001,-4.2111459E-001
 4.0000000E+001, 9.7751445E-001, 1.3722303E+000, 2.5187972E+000, 3.7019822E+000, 5.2880107E+000, 1.2213353E+000, 1.2353534E+000, 1.9938140E+000, 2.7127242E+000, 3.9145417E+000, 7.1208181E-001, 1.2041523E+000, 2.1980625E+000, 3.1254422E+000, 4.3455671E+000, 8.4162907E-001, 1.3223067E+000, 2.1021063E+000, 2.8182253E+000, 3.9535794E+000, 1.3277884E+000, 1.8489725E+000, 3.4580892E+000, 4.7134512E+000, 2.5507728E+000, 1.1530827E+000, 1.7901520E+000, 3.0190152E+000, 3.7312513E+000, 5.6596729E+000, 1.2181119E+000, 2.1083167E+000, 3.5526302E+000, 4.7853163E+000, 6.6482951E+000, 9.6890702E-001, 1.5817309E+000, 2.7383045E+000, 3.8863897E+000, 5.4734882E+000, 1.0729678E+000, 1.4898063E+000, 2.6320475E+000, 3.7791434E+000, 5.2435791E+000, 1.2860610E+000, 1.2823470E+000, 2.0572192E+000, 2.7197790E+000, 3.8844916E+000, 7.2411958E-001, 1.2278879E+000, 2.1380227E+000, 3.0013892E+000, 4.1786262E+000, 7.9807136E-001, 1.3299381E+000, 2.1417944E+000, 2.8592697E+000, 4.1832086E+000, 1.3385546E+000, 1.9342111E+000, 3.8588835E+000, 5.2210308E+000, 2.8244779E+000, 1.2748505E+000, 1.9306965E+000, 3.1753409E+000, 3.9450335E+000, 6.1219388E+000, 1.2873179E+000, 2.2315896E+000, 3.7506480E+000, 5.0676957E+000, 6.9480403E+000, 1.0609358E+000, 1.6783415E+000, 2.7719831E+000, 4.0302666E+000, 5.2325338E+000,-4.8249581E+000, 4.7526412E-001, 8.8355484E+000, 8.3865143E+000,-1.9004440E+001,-6.7335358E-001
